,year,month,ticker,list_date,company_name,icb_industry,icb_supersector,country_of_incorporation,market_cap,eps,p/e,p/s,datetime
103314,2016,3,AVV,1996-12-05,AVEVA GROUP                        ,Software & Computer Services,Software,United Kingdom,1007.103038,0.49,32.114255038265306,3.140625,2016-03-01
103440,2016,3,BT.A,1984-12-03,BT GROUP                           ,Fixed Line Telecommunications,Fixed Line Telecommunications,United Kingdom,43689.73933,0.36,12.184777814033911,1.895481927710844,2016-03-01
103681,2016,3,ECK,2003-06-27,ECKOH PLC                          ,Software & Computer Services,Software,United Kingdom,110.2792958,0.01,45.94970658333333,0.09166666666666666,2016-03-01
103752,2016,3,EVG,2015-10-21,EVGEN PHARMA PLC                   ,Pharmaceuticals & Biotechnology,Biotechnology,United Kingdom,14.26285809,-0.05,-3.9076323534246575,0.0,2016-03-01
103851,2016,3,GBG,2010-08-27,GB GROUP                           ,Software & Computer Services,Computer Services,United Kingdom,313.3128239,0.12,21.055969348118282,0.5887096774193549,2016-03-01
104028,2016,3,IMO,2014-06-27,IMIMOBILE PLC                      ,Software & Computer Services,Software,United Kingdom,72.00343683,0.08,14.75480262909836,1.0163934426229508,2016-03-01
104063,2016,3,IGP,2001-01-08,INTERCEDE GROUP                    ,Software & Computer Services,Software,United Kingdom,61.64978133,-0.02,-64.21852221875001,0.22916666666666666,2016-03-01
104085,2016,3,IOM,2000-04-19,IOMART GROUP                       ,Software & Computer Services,Internet,United Kingdom,275.94219510000005,0.1,25.78899019626168,0.7102803738317757,2016-03-01
104154,2016,3,KNOS,2015-07-10,KAINOS GROUP PLC                   ,Software & Computer Services,Software,United Kingdom,231.7826204,0.1,19.642594949152546,0.652542372881356,2016-03-01
104474,2016,3,OPG,2008-05-30,OPG POWER VENTURE PLC              ,Electricity,Electricity,Isle of Man,260.1135483,0.05,14.779178880681815,0.3636363636363637,2016-03-01
104678,2016,3,RENE,2005-08-12,RENEURON GROUP                     ,Pharmaceuticals & Biotechnology,Biotechnology,United Kingdom,106.5178831,-0.44,-7.565190561079546,0.0009375,2016-03-01
104844,2016,3,SOPH,2015-07-01,SOPHOS GROUP PLC                   ,Software & Computer Services,Software,United Kingdom,981.0,-0.1,-21.703539823008853,1.0575221238938053,2016-03-01
104865,2016,3,SSE,1991-06-18,SSE PLC                            ,Electricity,Electricity,United Kingdom,15141.412080000002,1.07,14.038544058744993,28.552579365079364,2016-03-01
104929,2016,3,TALK,2010-03-29,TALK TALK TELECOM GROUP PLC        ,Fixed Line Telecommunications,Fixed Line Telecommunications,United Kingdom,2167.494585000001,0.07,32.423254824233354,1.924607329842932,2016-03-01
104946,2016,3,TEP,2000-07-26,TELECOM PLUS                       ,Fixed Line Telecommunications,Fixed Line Telecommunications,United Kingdom,724.2861095,0.33,27.43507990530303,9.3125,2016-03-01
104993,2016,3,TRAK,2013-10-25,TRAKM8 HLDGS                       ,Technology Hardware & Equipment,Computer Hardware,United Kingdom,82.4902898,0.12,21.48184630208333,0.8125,2016-03-01
104999,2016,3,TRD,1996-03-21,TRIAD GROUP                        ,Software & Computer Services,Computer Services,United Kingdom,4.431251858,0.08,3.692709881666667,1.8666666666666667,2016-03-01
105084,2016,3,VOD,1988-10-26,VODAFONE GROUP                     ,Mobile Telecommunications,Mobile Telecommunications,United Kingdom,63844.35567,-0.18,-13.354827547472922,1.8754471177378669,2016-03-01
105161,2016,3,ZOO,2001-05-14,ZOO DIGITAL GROUP PLC              ,Software & Computer Services,Software,United Kingdom,3.456534898,-0.02,-5.237174087878788,0.3636363636363637,2016-03-01
108098,2015,4,IDEA,2012-07-02,IDEAGEN PLC                        ,Software & Computer Services,Software,United Kingdom,62.95629569,0.01,35.56852863841808,0.07909604519774012,2015-04-01
108831,2015,4,RDT,2014-04-29,ROSSLYN DATA TECHNOLOGIES PLC      ,Software & Computer Services,Software,United Kingdom,9.80795582,-0.04,-3.0649861937500003,0.035375000000000004,2015-04-01
108872,2015,4,SCLP,2010-07-30,SCANCELL HLDGS PLC                 ,Pharmaceuticals & Biotechnology,Biotechnology,United Kingdom,60.14988736,-0.01,-26.61499440707965,0.0,2015-04-01
111383,2017,3,ADT,2006-02-15,ADEPT TELECOM PLC,Telecommunications,Telecommunications,United Kingdom,77.6235,0.15,21.56208333333333,1.4166666666666667,2017-03-01
111512,2017,3,AVV,1996-12-05,AVEVA GROUP PLC,Technology,Technology,United Kingdom,1247.529446,0.43,45.33173859011628,6.765625,2017-03-01
111645,2017,3,BT.A,1984-12-03,BT GROUP PLC,Telecommunications,Telecommunications,United Kingdom,31693.314598,0.33,9.642605147255688,2.417871485943775,2017-03-01
111689,2017,3,CTP,2006-05-22,CASTLETON TECHNOLOGY PLC,Technology,Technology,United Kingdom,50.771067,0.01,64.26717341772152,0.2531645569620253,2017-03-01
111752,2017,3,CML,1996-07-18,CML MICROSYSTEMS PLC,Technology,Technology,United Kingdom,73.52090799999998,0.23,18.803301278772377,1.6470588235294117,2017-03-01
111810,2017,3,D4T4,2008-06-16,D4T4 SOLUTIONS PLC,Technology,Technology,United Kingdom,52.941532,0.1,13.93198210526316,0.4736842105263158,2017-03-01
111881,2017,3,ECK,2003-06-27,ECKOH PLC,Technology,Technology,United Kingdom,95.983443,0.01,39.33747663934426,0.11885245901639345,2017-03-01
112038,2017,3,GBG,2010-08-27,GB GROUP PLC,Technology,Technology,United Kingdom,394.663347,0.15,19.489548000000006,0.6444444444444445,2017-03-01
112209,2017,3,IMO,2014-06-27,IMIMOBILE PLC,Technology,Technology,United Kingdom,105.99587,0.1,17.376372131147534,1.2459016393442623,2017-03-01
112247,2017,3,IGP,2001-01-08,INTERCEDE GROUP PLC,Technology,Technology,United Kingdom,21.828023,-0.08,-5.45700575,0.16579999999999998,2017-03-01
112267,2017,3,IOM,2000-04-19,IOMART GROUP PLC,Technology,Technology,United Kingdom,318.753161,0.13,22.70321659544159,0.8333333333333334,2017-03-01
112335,2017,3,KNOS,2015-07-10,KAINOS GROUP PLC,Technology,Technology,United Kingdom,268.938613,0.09,25.323786534839925,0.7118644067796609,2017-03-01
112813,2017,3,RCN,2013-12-06,REDCENTRIC PLC,Technology,Technology,United Kingdom,129.879628,0.01,87.1675355704698,0.7046979865771812,2017-03-01
112843,2017,3,RICO,2008-11-05,RICOH CO LTD,Technology,Technology,Japan,6950.6478769999985,4.82,1.9890250041493776,2798.481379310345,2017-03-01
112982,2017,3,SOPH,2015-06-26,SOPHOS GROUP PLC,Technology,Technology,United Kingdom,1245.805359,-0.06,-45.13787532608696,1.1521739130434785,2017-03-01
113001,2017,3,SRT,2005-11-02,SRT MARINE SYSTEMS PLC,Technology,Technology,United Kingdom,48.492719,0.01,37.88493671875,0.0859375,2017-03-01
113058,2017,3,SYS,2013-01-14,SYSGROUP PLC,Technology,Technology,United Kingdom,10.974352,-0.04,-11.92864347826087,0.31173913043478263,2017-03-01
113061,2017,3,TALK,2010-03-29,TALKTALK TELECOM GROUP PLC,Telecommunications,Telecommunications,United Kingdom,1810.891333,0.21,9.029625195711793,1.801047120418848,2017-03-01
113078,2017,3,TEP,2000-07-26,TELECOM PLUS PLC,Telecommunications,Telecommunications,United Kingdom,962.430134,0.38,31.658885986842108,9.25,2017-03-01
113137,2017,3,TRAK,2005-11-29,TRAKM8 HOLDINGS PLC,Technology,Technology,United Kingdom,29.090817,0.05,16.161565,0.75,2017-03-01
113144,2017,3,TRD,1996-03-21,TRIAD GROUP PLC,Technology,Technology,United Kingdom,10.515914,0.1,7.010609333333334,2.066666666666667,2017-03-01
113230,2017,3,VOD,1988-10-26,VODAFONE GROUP PLC,Telecommunications,Telecommunications,United Kingdom,55399.000378,-0.1,-20.809481022462627,1.7891593418976786,2017-03-01
